,,May,June,July,Aug.,Sep.,Oct.,Nov.
2005,Lai Chau,73,513,322,334,30,38,21
,Son La,65,150,267.32,403,147,58,21
,Tuyen Quang,110,280,167,340,172,11,44
,Ha Noi,221,278,278,377,366,18,92
,Bai Chay,247,340,628,364,167,92,87
,Nam Dinh,73,67,241,324,496,63,210
,Vinh,119,50,228,424,647,258,106
,Hue,42,113,129,189,350,,485
,Da Nang,20,22,136,210,236,510,432
,Qui Nhon,49,27,13,20,362,914,488
,Playku,46,182,479,610,314,187,45
,DaLat,172,182,200,259,354,263,92
,Nha Trang,0,32,42,11,258,487,355
,Vung Tau,119,147,170,155,189,71,7
,Ca Mau,213,227,400,166,380,497,207
2006,Lai Chau,243,402,378,291,163,42,25
,Son La,152,223,262,305,58,39,12
,Tuyen Quang,263,115,459,455,94,58,50
,Ha Noi,140,97,247,354,183,28,116
,Bai Chay,49,198,464,666,80,50,86
,Nam Dinh,220,124,186,3270,102,60,low
,Vinh,100,57,171,547,254,518,58
,Huee,61,13,54,476,510,406,239
,Da Nang,69,2,127,346,394,619,279
,Qui Nhon,106,30,70,46,219,191,138
,Playku,152,202,649,526,330,202,2
,Da Lat,"""176""",,165,281,349,309,19
,Nha Trang,24,5,7,68,158,179,-61
,Vung Tau,202,249,219,190,169,252,19
,Ca Mau,231,324,475,450,374,241,80