region,province,lowest_income_quintile_2010,highest_income_quintile_2010,income_ratio_2010,lowest_income_quintile_2012,highest_income_quintile_2012,income_ratio_2012,lowest_income_quintile_2014,highest_income_quintile_2014,income_ratio_2014,lowest_income_quintile_2016,highest_income_quintile_2016,income_ratio_2016
Red River Delta,Ha Noi,5420,48340,8.9,8040,68290,8.5,12240,103680,8.5,15100,127910,8.5
Red River Delta,Vinh Phuc,4190,26590,6.3,6290,40600,6.5,7940,51220,6.5,9620,62080,6.5
Red River Delta,Bac Ninh,5340,38990,7.3,8050,58310,7.2,12550,81600,6.5,15530,100920,6.5
Red River Delta,Quang Ninh,4710,38120,8.1,6890,54830,8,8160,65070,8,11300,90150,8
Red River Delta,Hai Duong,4410,26340,6,7010,42070,6,9920,59590,6,11090,66670,6
Red River Delta,Hai Phong,5100,40690,8,7590,58620,7.7,13190,101650,7.7,15370,118520,7.7
Red River Delta,Hung Yen,4200,24900,5.9,6480,35890,5.5,7990,44350,5.5,11040,61290,5.5
Red River Delta,Thai Binh,4090,23840,5.8,6140,34910,5.7,8880,52730,5.9,10010,59480,5.9
Red River Delta,Ha Nam,4180,24560,5.9,5870,34490,5.9,7400,44990,6.1,9440,57400,6.1
Red River Delta,Nam Dinh,4590,26350,5.7,6210,38e3,6.1,10590,64620,6.1,10860,66230,6.1
Red River Delta,Ninh Binh,3730,26210,7,5510,37470,6.8,7240,49070,6.8,9700,65790,6.8
Northern midlands and mountain areas,Ha Giang,2590,14130,5.5,3490,20430,5.9,4680,27510,5.9,5550,34140,6.2
Northern midlands and mountain areas,Cao Bang,2250,20130,9,3040,27610,9.1,3510,32020,9.1,4790,44370,9.3
Northern midlands and mountain areas,Bac Kan,2550,18980,7.5,3580,27500,7.7,3590,27860,7.8,4180,32960,7.9
Northern midlands and mountain areas,Tuyen Quang,2930,19100,6.5,3710,25430,6.8,5060,34520,6.8,5920,40450,6.8
Northern midlands and mountain areas,Lao Cai,2800,21170,7.6,3460,26870,7.8,4740,37060,7.8,5750,45680,7.9
Northern midlands and mountain areas,Yen Bai,2790,19040,6.8,3660,26030,7.1,4380,32010,7.3,5710,44470,7.8
Northern midlands and mountain areas,Thai Nguyen,3570,26680,7.5,4990,38650,7.7,6360,49240,7.7,8960,69370,7.7
Northern midlands and mountain areas,Lang Son,3050,21280,7,4090,28530,7,4800,33400,7,5490,39040,7.1
Northern midlands and mountain areas,Bac Giang,4030,23380,5.8,5020,31350,6.2,7080,45150,6.4,8880,57340,6.5
Northern midlands and mountain areas,Phu Tho,3810,26050,6.8,4880,33790,6.9,6290,43650,6.9,7550,52390,6.9
Northern midlands and mountain areas,Dien Bien,2150,14440,6.7,3100,21430,6.9,4440,30930,7,4690,33370,7.1
Northern midlands and mountain areas,Lai Chau,2160,14840,6.9,2730,19280,7.1,3590,25810,7.2,4670,34080,7.3
Northern midlands and mountain areas,Son La,2580,17500,6.8,3510,24650,7,4310,30550,7.1,4510,32370,7.2
Northern midlands and mountain areas,Hoa Binh,2650,19160,7.2,3780,26860,7.1,4790,34650,7.2,5800,42710,7.4
Northern Central area and Central coastal area,Thanh Hoa,2950,17730,6,4160,25800,6.2,5330,33850,6.3,7210,47800,6.6
Northern Central area and Central coastal area,Nghe An,2600,19550,7.5,3830,30990,8.1,4280,35280,8.2,4980,41750,8.4
Northern Central area and Central coastal area,Ha Tinh,2780,19210,6.9,4180,28620,6.9,5540,38510,6.9,6610,46350,7
Northern Central area and Central coastal area,Quang Binh,3080,21430,7,4230,31740,7.5,5170,39770,7.7,6430,50460,7.9
Northern Central area and Central coastal area,Quang Tri,3200,21620,6.8,4100,28630,7,4930,35e3,7.1,6220,44670,7.2
Northern Central area and Central coastal area,Thua Thien-Hue,3280,22320,6.8,5860,38370,6.5,7140,46780,6.6,8440,55390,6.6
Northern Central area and Central coastal area,Da Nang,6670,43990,6.6,9760,62740,6.4,12740,81300,6.4,15960,101860,6.4
Northern Central area and Central coastal area,Quang  Nam,3260,19690,6,4320,28030,6.5,5620,36720,6.5,7030,46710,6.6
Northern Central area and Central coastal area,Quang  Ngai,3210,19350,6,4550,27980,6.2,5130,32100,6.3,6920,45920,6.6
Northern Central area and Central coastal area,Binh Dinh,4020,25730,6.4,5490,35780,6.5,7820,50980,6.5,8720,56870,6.5
Northern Central area and Central coastal area,Phu Yen,3420,22500,6.6,4680,30630,6.6,6640,43390,6.5,7960,51990,6.5
Northern Central area and Central coastal area,Khanh  Hoa,3900,29040,7.4,5970,43500,7.3,8730,63840,7.3,9270,67870,7.3
Northern Central area and Central coastal area,Ninh  Thuan,2700,23950,8.9,4700,39640,8.4,6770,57680,8.5,6800,57930,8.5
Northern Central area and Central coastal area,Binh Thuan,4370,23550,5.4,6390,34440,5.4,9370,50390,5.4,10760,57860,5.4
Central Highlands,Kon Tum,3560,21500,6,4190,27010,6.5,4960,34490,7,6390,46180,7.2
Central Highlands,Gia Lai,2870,23460,8.2,4090,34170,8.3,4340,37050,8.5,5400,47540,8.8
Central Highlands,Dak Lak,2980,24740,8.3,4360,36780,8.4,5500,46580,8.5,6460,56130,8.7
Central Highlands,Dak Nong,2680,25130,9.4,3640,34770,9.5,3920,37920,9.7,6120,59340,9.7
Central Highlands,Lam Dong,3500,29060,8.3,4850,40470,8.3,7110,59210,8.3,8480,71370,8.4
South East,Binh Phuoc,5310,35650,6.7,7030,47400,6.7,8600,57920,6.7,10390,70040,6.7
South East,Tay Ninh,5540,34940,6.3,8110,49520,6.1,10810,66500,6.2,12850,79010,6.2
South East,Binh Duong,9800,70140,7.2,11380,79050,6.9,12820,89450,7,18870,131710,7
South East,Dong Nai,5760,38230,6.6,8950,54750,6.1,12730,77750,6.1,16650,101720,6.1
South East,Ba Ria - Vung Tau,4860,41730,8.6,8960,74560,8.3,11800,98510,8.4,13750,118030,8.6
South East,Ho Chi Minh city,9650,64290,6.7,13020,84470,6.5,18380,118950,6.5,21070,136350,6.5
Mekong River Delta,Long An,4350,28730,6.6,6200,40870,6.6,7940,52460,6.6,10780,71180,6.6
Mekong River Delta,Tien Giang,4320,29790,6.9,6220,42770,6.9,8490,58010,6.8,10330,70550,6.8
Mekong River Delta,Ben Tre,4210,28700,6.8,5030,35510,7.1,7020,49540,7.1,7780,55180,7.1
Mekong River Delta,Tra Vinh,3360,25710,7.7,4010,33250,8.3,5770,48050,8.3,6280,52010,8.3
Mekong River Delta,Vinh Long,4550,27170,6,5990,36240,6,7930,47730,6,8350,51310,6.1
Mekong River Delta,Dong Thap,3350,26500,7.9,5180,41290,8,6650,50920,7.7,8360,64040,7.7
Mekong River Delta,An Giang,4250,30510,7.2,6150,45780,7.4,8260,61250,7.4,9640,71440,7.4
Mekong River Delta,Kien  Giang,3900,32450,8.3,5750,49110,8.5,7880,67630,8.6,8750,76810,8.8
Mekong River Delta,Can Tho,5160,34370,6.7,7670,52640,6.9,9240,59390,6.4,11800,78220,6.6
Mekong River Delta,Hau Giang,3580,25390,7.1,4670,34530,7.4,6520,48170,7.4,8380,61880,7.4
Mekong River Delta,Soc Trang,3420,25070,7.3,4060,30640,7.5,5670,43160,7.6,8290,63060,7.6
Mekong River Delta,Bac Lieu,3960,28930,7.3,5860,41410,7.1,6780,47810,7.1,7160,50450,7.1
Mekong River Delta,Ca Mau,3630,28860,7.9,5780,45650,7.9,6480,51300,7.9,7250,58710,8.1
